code,city,country,lat,lon
SGN, SAIGON, VIETNAM, 10.8231, 106.6297
SIN,SINGAPORE,SINGAPOR,1.36,103.75
SEA,SEATTLE,USA,47.61,-122.33
SAN, SAN DIEGO, USA, 32.7157, -117.1611
LV, LAS VEGAS, USA, 36.1699, -115.1398
KAN, KANSAS, USA, 39.0997, -94.5786
POR, PORTLAND, USA, 45.5231, -122.6765
LOS, LOS ANGELES, USA, 34.0522, -118.2437
OSLO, OSLO, NORWAY, 59.9139, 10.7522
RM, ROME, ITALY, 41.9028, 12.4964
FLR, , ITALY, 43.7696, 11.2558
MI, , ITALY, 45.4654, 9.1859
TRN, , ITALY, 45.0703, 7.6869
VCE, , ITALY, 45.4408, 12.3155
VIE, VIENNA, AUSTRIA, 48.2082, 16.3738
